"","agec3","date","hospst","pneumococcal.pneumonia..481.","flu","pneumonia","popsize","age.class"
"1648","65 plus",2000-08-06,"IL",11,0,817,1500840,2
"1649","65 plus",2000-08-13,"IL",10,2,823,1500840,2
"1650","65 plus",2000-08-20,"IL",12,0,808,1500840,2
"1651","65 plus",2000-08-27,"IL",17,0,899,1500840,2
"1652","65 plus",2000-09-03,"IL",12,3,875,1500840,2
"1653","65 plus",2000-09-10,"IL",13,0,897,1500840,2
"1654","65 plus",2000-09-17,"IL",19,1,975,1500840,2
"1655","65 plus",2000-09-24,"IL",18,4,943,1500840,2
"1656","65 plus",2000-10-01,"IL",21,2,920,1500840,2
"1657","65 plus",2000-10-08,"IL",14,0,937,1500840,2
"1658","65 plus",2000-10-15,"IL",20,1,989,1500840,2
"1659","65 plus",2000-10-22,"IL",17,4,900,1500840,2
"1660","65 plus",2000-10-29,"IL",14,1,936,1500840,2
"1661","65 plus",2000-11-05,"IL",32,8,1033,1500840,2
"1662","65 plus",2000-11-12,"IL",26,5,1001,1500840,2
"1663","65 plus",2000-11-19,"IL",33,9,1044,1500840,2
"1664","65 plus",2000-11-26,"IL",31,16,1243,1500840,2
"1665","65 plus",2000-12-03,"IL",33,8,1193,1500840,2
"1666","65 plus",2000-12-10,"IL",28,8,1088,1500840,2
"1667","65 plus",2000-12-17,"IL",31,18,1220,1500840,2
"1668","65 plus",2000-12-24,"IL",43,10,1253,1500840,2
"1669","65 plus",2000-12-31,"IL",40,20,1395,1500840,2
"1670","65 plus",2001-01-07,"IL",26,12,1250,1500840,2
"1671","65 plus",2001-01-14,"IL",20,12,1144,1500840,2
"1672","65 plus",2001-01-21,"IL",12,21,1107,1500840,2
"1673","65 plus",2001-01-28,"IL",37,13,1155,1500840,2
"1674","65 plus",2001-02-04,"IL",32,23,1205,1500840,2
"1675","65 plus",2001-02-11,"IL",18,21,1240,1500840,2
"1676","65 plus",2001-02-18,"IL",31,14,1167,1500840,2
"1677","65 plus",2001-02-25,"IL",27,17,1334,1500840,2
"1678","65 plus",2001-03-04,"IL",27,16,1338,1500840,2
"1679","65 plus",2001-03-11,"IL",30,12,1346,1500840,2
"1680","65 plus",2001-03-18,"IL",28,10,1265,1500840,2
"1681","65 plus",2001-03-25,"IL",38,6,1222,1500840,2
"1682","65 plus",2001-04-01,"IL",32,5,1251,1500840,2
"1683","65 plus",2001-04-08,"IL",24,1,1133,1500840,2
"1684","65 plus",2001-04-15,"IL",33,3,1205,1500840,2
"1685","65 plus",2001-04-22,"IL",34,1,1102,1500840,2
"1686","65 plus",2001-04-29,"IL",25,1,1090,1500840,2
"1687","65 plus",2001-05-06,"IL",35,5,1056,1500840,2
"1688","65 plus",2001-05-13,"IL",26,1,994,1500840,2
"1689","65 plus",2001-05-20,"IL",17,3,964,1500840,2
"1690","65 plus",2001-05-27,"IL",22,1,1013,1500840,2
"1691","65 plus",2001-06-03,"IL",28,0,1207,1500840,2
"1692","65 plus",2001-06-10,"IL",20,1,1042,1500840,2
"1693","65 plus",2001-06-17,"IL",16,3,1031,1500840,2
"1694","65 plus",2001-06-24,"IL",16,2,992,1500840,2
"1695","65 plus",2001-07-01,"IL",13,3,952,1502203,2
"1696","65 plus",2001-07-08,"IL",18,0,906,1502203,2
"1697","65 plus",2001-07-15,"IL",10,3,881,1502203,2
"1698","65 plus",2001-07-22,"IL",12,1,876,1502203,2
"1699","65 plus",2001-07-29,"IL",13,0,845,1502203,2
"1700","65 plus",2001-08-05,"IL",15,0,866,1502203,2
"1701","65 plus",2001-08-12,"IL",11,2,855,1502203,2
"1702","65 plus",2001-08-19,"IL",14,1,890,1502203,2
"1703","65 plus",2001-08-26,"IL",7,0,840,1502203,2
"1704","65 plus",2001-09-02,"IL",12,1,852,1502203,2
"1705","65 plus",2001-09-09,"IL",11,1,881,1502203,2
"1706","65 plus",2001-09-16,"IL",23,1,939,1502203,2
"1707","65 plus",2001-09-23,"IL",19,3,969,1502203,2
"1708","65 plus",2001-09-30,"IL",22,2,1081,1502203,2
"1709","65 plus",2001-10-07,"IL",27,1,1124,1502203,2
"1710","65 plus",2001-10-14,"IL",23,0,1042,1502203,2
"1711","65 plus",2001-10-21,"IL",20,2,1124,1502203,2
"1712","65 plus",2001-10-28,"IL",20,5,1131,1502203,2
"1713","65 plus",2001-11-04,"IL",19,2,1068,1502203,2
"1714","65 plus",2001-11-11,"IL",24,5,1092,1502203,2
"1715","65 plus",2001-11-18,"IL",26,1,1042,1502203,2
"1716","65 plus",2001-11-25,"IL",36,5,1202,1502203,2
"1717","65 plus",2001-12-02,"IL",40,4,1143,1502203,2
"1718","65 plus",2001-12-09,"IL",25,5,1157,1502203,2
"1719","65 plus",2001-12-16,"IL",29,5,1164,1502203,2
"1720","65 plus",2001-12-23,"IL",50,8,1387,1502203,2
"1721","65 plus",2001-12-30,"IL",45,10,1609,1502203,2
"1722","65 plus",2002-01-06,"IL",22,15,1459,1502203,2
"1723","65 plus",2002-01-13,"IL",27,14,1234,1502203,2
"1724","65 plus",2002-01-20,"IL",22,24,1385,1502203,2
"1725","65 plus",2002-01-27,"IL",33,48,1468,1502203,2
"1726","65 plus",2002-02-03,"IL",32,59,1571,1502203,2
"1727","65 plus",2002-02-10,"IL",38,94,1767,1502203,2
"1728","65 plus",2002-02-17,"IL",34,104,1744,1502203,2
"1729","65 plus",2002-02-24,"IL",45,90,1744,1502203,2
"1730","65 plus",2002-03-03,"IL",33,54,1627,1502203,2
"1731","65 plus",2002-03-10,"IL",27,37,1413,1502203,2
"1732","65 plus",2002-03-17,"IL",31,15,1305,1502203,2
"1733","65 plus",2002-03-24,"IL",24,24,1201,1502203,2
"1734","65 plus",2002-03-31,"IL",29,14,1355,1502203,2
"1735","65 plus",2002-04-07,"IL",34,4,1271,1502203,2
"1736","65 plus",2002-04-14,"IL",27,3,1238,1502203,2
"1737","65 plus",2002-04-21,"IL",22,3,1036,1502203,2
"1738","65 plus",2002-04-28,"IL",19,5,1056,1502203,2
"1739","65 plus",2002-05-05,"IL",22,0,1012,1502203,2
"1740","65 plus",2002-05-12,"IL",18,1,1040,1502203,2
"1741","65 plus",2002-05-19,"IL",19,0,1089,1502203,2
"1742","65 plus",2002-05-26,"IL",25,0,1079,1502203,2
"1743","65 plus",2002-06-02,"IL",21,0,1127,1502203,2
"1744","65 plus",2002-06-09,"IL",12,0,1031,1502203,2
"1745","65 plus",2002-06-16,"IL",17,2,996,1502203,2
"1746","65 plus",2002-06-23,"IL",18,0,968,1502203,2
"1747","65 plus",2002-06-30,"IL",13,0,915,1502203,2
"1748","65 plus",2002-07-07,"IL",14,1,973,1501711,2
"1749","65 plus",2002-07-14,"IL",8,0,951,1501711,2
"1750","65 plus",2002-07-21,"IL",16,0,929,1501711,2
"1751","65 plus",2002-07-28,"IL",10,0,891,1501711,2
"1752","65 plus",2002-08-04,"IL",5,2,866,1501711,2
"1753","65 plus",2002-08-11,"IL",12,0,938,1501711,2
"1754","65 plus",2002-08-18,"IL",12,2,904,1501711,2
"1755","65 plus",2002-08-25,"IL",12,1,929,1501711,2
"1756","65 plus",2002-09-01,"IL",13,3,898,1501711,2
"1757","65 plus",2002-09-08,"IL",9,0,933,1501711,2
"1758","65 plus",2002-09-15,"IL",11,0,990,1501711,2
"1759","65 plus",2002-09-22,"IL",21,2,1029,1501711,2
"1760","65 plus",2002-09-29,"IL",18,1,951,1501711,2
"1761","65 plus",2002-10-06,"IL",9,0,1019,1501711,2
"1762","65 plus",2002-10-13,"IL",13,2,1054,1501711,2
"1763","65 plus",2002-10-20,"IL",15,1,1022,1501711,2
"1764","65 plus",2002-10-27,"IL",26,2,1039,1501711,2
"1765","65 plus",2002-11-03,"IL",25,2,1106,1501711,2
"1766","65 plus",2002-11-10,"IL",25,5,1150,1501711,2
"1767","65 plus",2002-11-17,"IL",16,2,1111,1501711,2
"1768","65 plus",2002-11-24,"IL",27,3,1070,1501711,2
"1769","65 plus",2002-12-01,"IL",34,6,1206,1501711,2
"1770","65 plus",2002-12-08,"IL",28,3,1264,1501711,2
"1771","65 plus",2002-12-15,"IL",23,3,1154,1501711,2
"1772","65 plus",2002-12-22,"IL",37,8,1174,1501711,2
"1773","65 plus",2002-12-29,"IL",36,9,1465,1501711,2
"1774","65 plus",2003-01-05,"IL",21,11,1399,1501711,2
"1775","65 plus",2003-01-12,"IL",25,4,1168,1501711,2
"1776","65 plus",2003-01-19,"IL",21,15,1166,1501711,2
"1777","65 plus",2003-01-26,"IL",24,15,1316,1501711,2
"1778","65 plus",2003-02-02,"IL",15,22,1293,1501711,2
"1779","65 plus",2003-02-09,"IL",30,27,1360,1501711,2
"1780","65 plus",2003-02-16,"IL",19,21,1393,1501711,2
"1781","65 plus",2003-02-23,"IL",22,4,1318,1501711,2
"1782","65 plus",2003-03-02,"IL",21,6,1234,1501711,2
"1783","65 plus",2003-03-09,"IL",29,10,1289,1501711,2
"1784","65 plus",2003-03-16,"IL",25,7,1256,1501711,2
"1785","65 plus",2003-03-23,"IL",26,3,1141,1501711,2
"1786","65 plus",2003-03-30,"IL",26,3,1095,1501711,2
"1787","65 plus",2003-04-06,"IL",31,2,1142,1501711,2
"1788","65 plus",2003-04-13,"IL",33,0,1114,1501711,2
"1789","65 plus",2003-04-20,"IL",32,1,1077,1501711,2
"1790","65 plus",2003-04-27,"IL",24,0,1098,1501711,2
"1791","65 plus",2003-05-04,"IL",22,3,1101,1501711,2
"1792","65 plus",2003-05-11,"IL",24,1,1099,1501711,2
"1793","65 plus",2003-05-18,"IL",18,2,1047,1501711,2
"1794","65 plus",2003-05-25,"IL",29,1,1076,1501711,2
"1795","65 plus",2003-06-01,"IL",23,0,1125,1501711,2
"1796","65 plus",2003-06-08,"IL",18,0,1081,1501711,2
"1797","65 plus",2003-06-15,"IL",10,1,1005,1501711,2
"1798","65 plus",2003-06-22,"IL",18,2,1021,1501711,2
"1799","65 plus",2003-06-29,"IL",11,2,889,1501711,2
"1800","65 plus",2003-07-06,"IL",14,0,928,1509304,2
"1801","65 plus",2003-07-13,"IL",14,1,909,1509304,2
"1802","65 plus",2003-07-20,"IL",7,1,904,1509304,2
"1803","65 plus",2003-07-27,"IL",13,1,946,1509304,2
"1804","65 plus",2003-08-03,"IL",7,1,891,1509304,2
"1805","65 plus",2003-08-10,"IL",9,1,940,1509304,2
"1806","65 plus",2003-08-17,"IL",13,4,962,1509304,2
"1807","65 plus",2003-08-24,"IL",7,1,974,1509304,2
"1808","65 plus",2003-08-31,"IL",13,1,941,1509304,2
"1809","65 plus",2003-09-07,"IL",14,0,976,1509304,2
"1810","65 plus",2003-09-14,"IL",12,1,964,1509304,2
"1811","65 plus",2003-09-21,"IL",16,2,967,1509304,2
"1812","65 plus",2003-09-28,"IL",15,0,1036,1509304,2
"1813","65 plus",2003-10-05,"IL",29,2,1106,1509304,2
"1814","65 plus",2003-10-12,"IL",20,4,1054,1509304,2
"1815","65 plus",2003-10-19,"IL",20,3,1054,1509304,2
"1816","65 plus",2003-10-26,"IL",26,6,1034,1509304,2
"1817","65 plus",2003-11-02,"IL",16,3,1055,1509304,2
"1818","65 plus",2003-11-09,"IL",18,9,1109,1509304,2
"1819","65 plus",2003-11-16,"IL",19,26,1166,1509304,2
"1820","65 plus",2003-11-23,"IL",19,36,1169,1509304,2
"1821","65 plus",2003-11-30,"IL",34,118,1440,1509304,2
"1822","65 plus",2003-12-07,"IL",31,213,1606,1509304,2
"1823","65 plus",2003-12-14,"IL",42,351,1733,1509304,2
"1824","65 plus",2003-12-21,"IL",40,520,1942,1509304,2
"1825","65 plus",2003-12-28,"IL",76,521,2391,1509304,2
"1826","65 plus",2004-01-04,"IL",40,261,1831,1509304,2
"1827","65 plus",2004-01-11,"IL",21,119,1461,1509304,2
"1828","65 plus",2004-01-18,"IL",18,75,1278,1509304,2
"1829","65 plus",2004-01-25,"IL",26,48,1204,1509304,2
"1830","65 plus",2004-02-01,"IL",20,41,1148,1509304,2
"1831","65 plus",2004-02-08,"IL",21,24,1212,1509304,2
"1832","65 plus",2004-02-15,"IL",18,12,1222,1509304,2
"1833","65 plus",2004-02-22,"IL",26,12,1263,1509304,2
"1834","65 plus",2004-02-29,"IL",16,5,1245,1509304,2
"1835","65 plus",2004-03-07,"IL",13,8,1214,1509304,2
"1836","65 plus",2004-03-14,"IL",16,1,1220,1509304,2
"1837","65 plus",2004-03-21,"IL",18,5,1269,1509304,2
"1838","65 plus",2004-03-28,"IL",18,3,1197,1509304,2
"1839","65 plus",2004-04-04,"IL",21,1,1238,1509304,2
"1840","65 plus",2004-04-11,"IL",22,1,1289,1509304,2
"1841","65 plus",2004-04-18,"IL",15,4,1221,1509304,2
"1842","65 plus",2004-04-25,"IL",13,0,1110,1509304,2
"1843","65 plus",2004-05-02,"IL",17,0,1138,1509304,2
"1844","65 plus",2004-05-09,"IL",9,1,1112,1509304,2
"1845","65 plus",2004-05-16,"IL",18,0,1034,1509304,2
"1846","65 plus",2004-05-23,"IL",13,1,1039,1509304,2
"1847","65 plus",2004-05-30,"IL",17,2,1132,1509304,2
"1848","65 plus",2004-06-06,"IL",13,1,1133,1509304,2
"1849","65 plus",2004-06-13,"IL",15,0,1083,1509304,2
"1850","65 plus",2004-06-20,"IL",8,1,1102,1509304,2
"1851","65 plus",2004-06-27,"IL",11,1,1047,1509304,2
"1852","65 plus",2004-07-04,"IL",14,0,978,1514335,2
"1853","65 plus",2004-07-11,"IL",11,0,960,1514335,2
"1854","65 plus",2004-07-18,"IL",8,1,963,1514335,2
"1855","65 plus",2004-07-25,"IL",12,0,958,1514335,2
"1856","65 plus",2004-08-01,"IL",6,0,858,1514335,2
"1857","65 plus",2004-08-08,"IL",8,1,931,1514335,2
"1858","65 plus",2004-08-15,"IL",14,0,916,1514335,2
"1859","65 plus",2004-08-22,"IL",11,1,952,1514335,2
"1860","65 plus",2004-08-29,"IL",16,0,929,1514335,2
"1861","65 plus",2004-09-05,"IL",18,1,974,1514335,2
"1862","65 plus",2004-09-12,"IL",16,0,989,1514335,2
"1863","65 plus",2004-09-19,"IL",13,1,982,1514335,2
"1864","65 plus",2004-09-26,"IL",8,1,983,1514335,2
"1865","65 plus",2004-10-03,"IL",16,3,1119,1514335,2
"1866","65 plus",2004-10-10,"IL",19,3,1110,1514335,2
"1867","65 plus",2004-10-17,"IL",19,8,1144,1514335,2
"1868","65 plus",2004-10-24,"IL",19,7,1053,1514335,2
"1869","65 plus",2004-10-31,"IL",16,1,1005,1514335,2
"1870","65 plus",2004-11-07,"IL",19,5,1075,1514335,2
"1871","65 plus",2004-11-14,"IL",22,7,1110,1514335,2
"1872","65 plus",2004-11-21,"IL",25,4,1059,1514335,2
"1873","65 plus",2004-11-28,"IL",17,10,1246,1514335,2
"1874","65 plus",2004-12-05,"IL",16,7,1254,1514335,2
"1875","65 plus",2004-12-12,"IL",15,13,1221,1514335,2
"1876","65 plus",2004-12-19,"IL",27,22,1225,1514335,2
"1877","65 plus",2004-12-26,"IL",27,88,1696,1514335,2
"1878","65 plus",2005-01-02,"IL",41,98,1736,1514335,2
"1879","65 plus",2005-01-09,"IL",23,88,1599,1514335,2
"1880","65 plus",2005-01-16,"IL",18,148,1503,1514335,2
"1881","65 plus",2005-01-23,"IL",23,180,1685,1514335,2
"1882","65 plus",2005-01-30,"IL",33,296,1892,1514335,2
"1883","65 plus",2005-02-06,"IL",25,346,2027,1514335,2
"1884","65 plus",2005-02-13,"IL",42,318,1985,1514335,2
"1885","65 plus",2005-02-20,"IL",29,272,1938,1514335,2
"1886","65 plus",2005-02-27,"IL",41,231,1914,1514335,2
"1887","65 plus",2005-03-06,"IL",19,152,1777,1514335,2
"1888","65 plus",2005-03-13,"IL",37,105,1666,1514335,2
"1889","65 plus",2005-03-20,"IL",27,70,1618,1514335,2
"1890","65 plus",2005-03-27,"IL",31,38,1733,1514335,2
"1891","65 plus",2005-04-03,"IL",27,21,1565,1514335,2
"1892","65 plus",2005-04-10,"IL",20,8,1359,1514335,2
"1893","65 plus",2005-04-17,"IL",15,7,1274,1514335,2
"1894","65 plus",2005-04-24,"IL",18,5,1165,1514335,2
"1895","65 plus",2005-05-01,"IL",23,5,1271,1514335,2
"1896","65 plus",2005-05-08,"IL",21,3,1314,1514335,2
"1897","65 plus",2005-05-15,"IL",25,4,1274,1514335,2
"1898","65 plus",2005-05-22,"IL",17,2,1205,1514335,2
"1899","65 plus",2005-05-29,"IL",26,1,1165,1514335,2
"1900","65 plus",2005-06-05,"IL",13,0,1133,1514335,2
"1901","65 plus",2005-06-12,"IL",11,0,1091,1514335,2
"1902","65 plus",2005-06-19,"IL",15,1,1032,1514335,2
"1903","65 plus",2005-06-26,"IL",10,0,958,1514335,2
"1904","65 plus",2005-07-03,"IL",13,1,963,1519904,2
"1905","65 plus",2005-07-10,"IL",9,0,995,1519904,2
"1906","65 plus",2005-07-17,"IL",10,1,938,1519904,2
"1907","65 plus",2005-07-24,"IL",8,0,967,1519904,2
"1908","65 plus",2005-07-31,"IL",10,0,968,1519904,2
"1909","65 plus",2005-08-07,"IL",15,1,996,1519904,2
"1910","65 plus",2005-08-14,"IL",6,0,966,1519904,2
"1911","65 plus",2005-08-21,"IL",15,1,981,1519904,2
"1912","65 plus",2005-08-28,"IL",9,2,970,1519904,2
"1913","65 plus",2005-09-04,"IL",11,0,975,1519904,2
"1914","65 plus",2005-09-11,"IL",8,1,975,1519904,2
"1915","65 plus",2005-09-18,"IL",12,1,997,1519904,2
"1916","65 plus",2005-09-25,"IL",12,0,1009,1519904,2
"1917","65 plus",2005-10-02,"IL",8,0,1051,1519904,2
"1918","65 plus",2005-10-09,"IL",16,0,1075,1519904,2
"1919","65 plus",2005-10-16,"IL",18,4,1095,1519904,2
"1920","65 plus",2005-10-23,"IL",14,4,1057,1519904,2
"1921","65 plus",2005-10-30,"IL",19,4,1171,1519904,2
"1922","65 plus",2005-11-06,"IL",26,5,1160,1519904,2
"1923","65 plus",2005-11-13,"IL",24,3,1186,1519904,2
"1924","65 plus",2005-11-20,"IL",21,4,1163,1519904,2
"1925","65 plus",2005-11-27,"IL",26,3,1340,1519904,2
"1926","65 plus",2005-12-04,"IL",23,9,1218,1519904,2
"1927","65 plus",2005-12-11,"IL",21,10,1220,1519904,2
"1928","65 plus",2005-12-18,"IL",13,16,1248,1519904,2
"1929","65 plus",2005-12-25,"IL",29,34,1552,1519904,2
"1930","65 plus",2006-01-01,"IL",30,44,1624,1519904,2
"1931","65 plus",2006-01-08,"IL",24,39,1386,1519904,2
"1932","65 plus",2006-01-15,"IL",22,41,1358,1519904,2
"1933","65 plus",2006-01-22,"IL",23,47,1347,1519904,2
"1934","65 plus",2006-01-29,"IL",20,53,1369,1519904,2
"1935","65 plus",2006-02-05,"IL",25,83,1459,1519904,2
"1936","65 plus",2006-02-12,"IL",23,95,1454,1519904,2
"1937","65 plus",2006-02-19,"IL",31,143,1632,1519904,2
"1938","65 plus",2006-02-26,"IL",28,168,1625,1519904,2
"1939","65 plus",2006-03-05,"IL",26,170,1818,1519904,2
"1940","65 plus",2006-03-12,"IL",27,86,1573,1519904,2
"1941","65 plus",2006-03-19,"IL",25,81,1500,1519904,2
"1942","65 plus",2006-03-26,"IL",30,77,1523,1519904,2
"1943","65 plus",2006-04-02,"IL",23,48,1428,1519904,2
"1944","65 plus",2006-04-09,"IL",26,20,1359,1519904,2
"1945","65 plus",2006-04-16,"IL",13,16,1221,1519904,2
"1946","65 plus",2006-04-23,"IL",19,7,1112,1519904,2
"1947","65 plus",2006-04-30,"IL",12,6,1140,1519904,2
"1948","65 plus",2006-05-07,"IL",16,5,1142,1519904,2
"1949","65 plus",2006-05-14,"IL",21,3,1190,1519904,2
"1950","65 plus",2006-05-21,"IL",18,3,1171,1519904,2
"1951","65 plus",2006-05-28,"IL",11,3,1095,1519904,2
"1952","65 plus",2006-06-04,"IL",18,2,1089,1519904,2
"1953","65 plus",2006-06-11,"IL",9,1,1046,1519904,2
"1954","65 plus",2006-06-18,"IL",15,1,1046,1519904,2
"1955","65 plus",2006-06-25,"IL",15,0,998,1519904,2
"1956","65 plus",2006-07-02,"IL",14,2,967,1526045,2
"1957","65 plus",2006-07-09,"IL",10,0,1015,1526045,2
"1958","65 plus",2006-07-16,"IL",7,2,989,1526045,2
"1959","65 plus",2006-07-23,"IL",3,1,999,1526045,2
"1960","65 plus",2006-07-30,"IL",11,3,947,1526045,2
"1961","65 plus",2006-08-06,"IL",9,3,984,1526045,2
"1962","65 plus",2006-08-13,"IL",9,0,933,1526045,2
"1963","65 plus",2006-08-20,"IL",14,1,982,1526045,2
"1964","65 plus",2006-08-27,"IL",8,0,1029,1526045,2
"1965","65 plus",2006-09-03,"IL",8,1,1022,1526045,2
"1966","65 plus",2006-09-10,"IL",14,0,1075,1526045,2
"1967","65 plus",2006-09-17,"IL",10,2,1172,1526045,2
"1968","65 plus",2006-09-24,"IL",15,2,1319,1526045,2
"1969","65 plus",2006-10-01,"IL",24,0,1181,1526045,2
"1970","65 plus",2006-10-08,"IL",19,3,1160,1526045,2
"1971","65 plus",2006-10-15,"IL",24,2,1214,1526045,2
"1972","65 plus",2006-10-22,"IL",21,3,1226,1526045,2
"1973","65 plus",2006-10-29,"IL",15,2,1198,1526045,2
"1974","65 plus",2006-11-05,"IL",24,5,1287,1526045,2
"1975","65 plus",2006-11-12,"IL",20,6,1218,1526045,2
"1976","65 plus",2006-11-19,"IL",23,3,1236,1526045,2
"1977","65 plus",2006-11-26,"IL",24,6,1362,1526045,2
"1978","65 plus",2006-12-03,"IL",18,8,1344,1526045,2
"1979","65 plus",2006-12-10,"IL",20,10,1350,1526045,2
"1980","65 plus",2006-12-17,"IL",20,15,1357,1526045,2
"1981","65 plus",2006-12-24,"IL",43,17,1639,1526045,2
"1982","65 plus",2006-12-31,"IL",45,20,1797,1526045,2
"1983","65 plus",2007-01-07,"IL",21,11,1571,1526045,2
"1984","65 plus",2007-01-14,"IL",27,26,1384,1526045,2
"1985","65 plus",2007-01-21,"IL",24,23,1417,1526045,2
"1986","65 plus",2007-01-28,"IL",13,26,1350,1526045,2
"1987","65 plus",2007-02-04,"IL",21,25,1396,1526045,2
"1988","65 plus",2007-02-11,"IL",16,23,1455,1526045,2
"1989","65 plus",2007-02-18,"IL",25,35,1583,1526045,2
"1990","65 plus",2007-02-25,"IL",23,47,1517,1526045,2
"1991","65 plus",2007-03-04,"IL",25,45,1533,1526045,2
"1992","65 plus",2007-03-11,"IL",23,38,1546,1526045,2
"1993","65 plus",2007-03-18,"IL",22,50,1473,1526045,2
"1994","65 plus",2007-03-25,"IL",15,25,1371,1526045,2
"1995","65 plus",2007-04-01,"IL",16,14,1293,1526045,2
"1996","65 plus",2007-04-08,"IL",18,14,1379,1526045,2
"1997","65 plus",2007-04-15,"IL",21,11,1429,1526045,2
"1998","65 plus",2007-04-22,"IL",16,4,1325,1526045,2
"1999","65 plus",2007-04-29,"IL",17,3,1185,1526045,2
"2000","65 plus",2007-05-06,"IL",19,1,1243,1526045,2
"2001","65 plus",2007-05-13,"IL",19,1,1191,1526045,2
"2002","65 plus",2007-05-20,"IL",20,1,1219,1526045,2
"2003","65 plus",2007-05-27,"IL",12,0,1211,1526045,2
"2004","65 plus",2007-06-03,"IL",12,0,1132,1526045,2
"2005","65 plus",2007-06-10,"IL",8,0,1104,1526045,2
"2006","65 plus",2007-06-17,"IL",11,0,1037,1526045,2
"2007","65 plus",2007-06-24,"IL",11,0,1052,1526045,2
"2008","65 plus",2007-07-01,"IL",11,2,1060,1544575,2
"2009","65 plus",2007-07-08,"IL",14,0,1052,1544575,2
"2010","65 plus",2007-07-15,"IL",8,1,976,1544575,2
"2011","65 plus",2007-07-22,"IL",9,0,1029,1544575,2
"2012","65 plus",2007-07-29,"IL",6,1,983,1544575,2
"2013","65 plus",2007-08-05,"IL",11,0,989,1544575,2
"2014","65 plus",2007-08-12,"IL",9,0,998,1544575,2
"2015","65 plus",2007-08-19,"IL",5,0,1015,1544575,2
"2016","65 plus",2007-08-26,"IL",11,1,1061,1544575,2
"2017","65 plus",2007-09-02,"IL",7,0,1095,1544575,2
"2018","65 plus",2007-09-09,"IL",9,1,1105,1544575,2
"2019","65 plus",2007-09-16,"IL",16,2,1194,1544575,2
"2020","65 plus",2007-09-23,"IL",21,1,1124,1544575,2
"2021","65 plus",2007-09-30,"IL",11,2,1155,1544575,2
"2022","65 plus",2007-10-07,"IL",6,1,1064,1544575,2
"2023","65 plus",2007-10-14,"IL",14,3,1161,1544575,2
"2024","65 plus",2007-10-21,"IL",12,0,1122,1544575,2
"2025","65 plus",2007-10-28,"IL",21,4,1184,1544575,2
"2026","65 plus",2007-11-04,"IL",20,1,1318,1544575,2
"2027","65 plus",2007-11-11,"IL",25,9,1315,1544575,2
"2028","65 plus",2007-11-18,"IL",23,3,1234,1544575,2
"2029","65 plus",2007-11-25,"IL",32,6,1444,1544575,2
"2030","65 plus",2007-12-02,"IL",19,5,1347,1544575,2
"2031","65 plus",2007-12-09,"IL",26,3,1306,1544575,2
"2032","65 plus",2007-12-16,"IL",23,7,1297,1544575,2
"2033","65 plus",2007-12-23,"IL",41,15,1475,1544575,2
"2034","65 plus",2007-12-30,"IL",47,14,1703,1544575,2
"2035","65 plus",2008-01-06,"IL",33,25,1651,1544575,2
"2036","65 plus",2008-01-13,"IL",24,21,1370,1544575,2
"2037","65 plus",2008-01-20,"IL",26,52,1436,1544575,2
"2038","65 plus",2008-01-27,"IL",20,76,1611,1544575,2
"2039","65 plus",2008-02-03,"IL",21,169,1684,1544575,2
"2040","65 plus",2008-02-10,"IL",35,234,1833,1544575,2
"2041","65 plus",2008-02-17,"IL",29,345,1904,1544575,2
"2042","65 plus",2008-02-24,"IL",27,371,2021,1544575,2
"2043","65 plus",2008-03-02,"IL",21,286,1949,1544575,2
"2044","65 plus",2008-03-09,"IL",24,222,1916,1544575,2
"2045","65 plus",2008-03-16,"IL",19,184,1758,1544575,2
"2046","65 plus",2008-03-23,"IL",29,158,1772,1544575,2
"2047","65 plus",2008-03-30,"IL",31,95,1721,1544575,2
"2048","65 plus",2008-04-06,"IL",19,60,1583,1544575,2
"2049","65 plus",2008-04-13,"IL",23,25,1539,1544575,2
"2050","65 plus",2008-04-20,"IL",15,15,1430,1544575,2
"2051","65 plus",2008-04-27,"IL",19,10,1317,1544575,2
"2052","65 plus",2008-05-04,"IL",19,7,1330,1544575,2
"2053","65 plus",2008-05-11,"IL",20,2,1367,1544575,2
"2054","65 plus",2008-05-18,"IL",17,5,1346,1544575,2
"2055","65 plus",2008-05-25,"IL",25,0,1354,1544575,2
"2056","65 plus",2008-06-01,"IL",20,2,1296,1544575,2
"2057","65 plus",2008-06-08,"IL",13,2,1252,1544575,2
"2058","65 plus",2008-06-15,"IL",15,1,1219,1544575,2
"2059","65 plus",2008-06-22,"IL",22,1,1243,1544575,2
"2060","65 plus",2008-06-29,"IL",9,1,1115,1544575,2
"2061","65 plus",2008-07-06,"IL",14,0,1181,1572791,2
"2062","65 plus",2008-07-13,"IL",8,0,1069,1572791,2
"2063","65 plus",2008-07-20,"IL",6,1,1071,1572791,2
"2064","65 plus",2008-07-27,"IL",8,0,1071,1572791,2
"2065","65 plus",2008-08-03,"IL",8,1,1028,1572791,2
"2066","65 plus",2008-08-10,"IL",8,0,1070,1572791,2
"2067","65 plus",2008-08-17,"IL",5,2,1059,1572791,2
"2068","65 plus",2008-08-24,"IL",6,1,1064,1572791,2
"2069","65 plus",2008-08-31,"IL",16,0,1038,1572791,2
"2070","65 plus",2008-09-07,"IL",18,1,1138,1572791,2
"2071","65 plus",2008-09-14,"IL",8,1,1183,1572791,2
"2072","65 plus",2008-09-21,"IL",13,2,1233,1572791,2
